Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
3578	074613h	50201452N	0	0	0	19789873E	0	0	0	6674m	6674	21896ft	13	2851	mV	8.11	C	44673	Pa	7.15	C	23.25	%	-5.74	C	8.1	%																																																																	-5.74	C	Ho		8.1	C	3578	074613h	50201452N	19789873E	6674m	21896ft	Sat		13	Bat		2851	mV	Tb		8.11	C	44673	Pa	Ti		7.15	C	Hi		23.25	C	To		-5.74	C	Ho		8.1	C	3578	074613h	50201452N	19789873E	6674m	21896ft	Sat		13	Bat		2851	mV	Tb		8.11	C	44673	Pa	Ti		7.15	C	Hi		23.25	C	To		-5.74	C	Ho		8.1	C	3578	074613h	50201452N	19789873E	6674m	21896ft	Sat		13	Bat		2851	mV	Tb		8.11	C	44673	Pa	Ti		7.15	C	Hi		23.25	C	To		-5.74	C	Ho		8.1	C	3578	074613h	50201452N	19789873E	6674m	21896ft	Sat		13	Bat		2851	mV	Tb		8.11	C	44673	Pa	Ti		7.15	C	Hi		23.25	C	To		-5.74	C	Ho		8.1	C	3578	074613h	50201452N	19789873E	6674m	21896ft	Sat		13	Bat		2851	mV	Tb		8.11	C	44673
3579	074614h	50201455N	0	0	0	19789949E	0	0	0	6681m	6681	21919ft	13	2850	mV	8.9	C	44633	Pa	7.14	C	23.25	%	-5.70	C	8.11	%																																																																	-5.70	C	Ho		8.11	C	3579	074614h	50201455N	19789949E	6681m	21919ft	Sat		13	Bat		2850	mV	Tb		8.9	C	44633	Pa	Ti		7.14	C	Hi		23.25	C	To		-5.70	C	Ho		8.11	C	3579	074614h	50201455N	19789949E	6681m	21919ft	Sat		13	Bat		2850	mV	Tb		8.9	C	44633	Pa	Ti		7.14	C	Hi		23.25	C	To		-5.70	C	Ho		8.11	C	3579	074614h	50201455N	19789949E	6681m	21919ft	Sat		13	Bat		2850	mV	Tb		8.9	C	44633	Pa	Ti		7.14	C	Hi		23.25	C	To		-5.70	C	Ho		8.11	C	3579	074614h	50201455N	19789949E	6681m	21919ft	Sat		13	Bat		2850	mV	Tb		8.9	C	44633	Pa	Ti		7.14	C	Hi		23.25	C	To		-5.70	C	Ho		8.11	C	3579	074614h	50201455N	19789949E	6681m	21919ft	Sat		13	Bat		2850	mV	Tb		8.9	C	44633
3580	074615h	50201466N	0	0	0	19790007E	0	0	0	6688m	6688	21942ft	13	2853	mV	8.7	C	44592	Pa	7.13	C	23.25	%	-6.10	C	8.15	%																																																																	-6.10	C	Ho		8.15	C	3580	074615h	50201466N	19790007E	6688m	21942ft	Sat		13	Bat		2853	mV	Tb		8.7	C	44592	Pa	Ti		7.13	C	Hi		23.25	C	To		-6.10	C	Ho		8.15	C	3580	074615h	50201466N	19790007E	6688m	21942ft	Sat		13	Bat		2853	mV	Tb		8.7	C	44592	Pa	Ti		7.13	C	Hi		23.25	C	To		-6.10	C	Ho		8.15	C	3580	074615h	50201466N	19790007E	6688m	21942ft	Sat		13	Bat		2853	mV	Tb		8.7	C	44592	Pa	Ti		7.13	C	Hi		23.25	C	To		-6.10	C	Ho		8.15	C	3580	074615h	50201466N	19790007E	6688m	21942ft	Sat		13	Bat		2853	mV	Tb		8.7	C	44592	Pa	Ti		7.13	C	Hi		23.25	C	To		-6.10	C	Ho		8.15	C	3580	074615h	50201466N	19790007E	6688m	21942ft	Sat		13	Bat		2853	mV	Tb		8.7	C	44592
3581	074616h	50201485N	0	0	0	19790037E	0	0	0	6694m	6694	21961ft	13	2853	mV	8.5	C	44569	Pa	7.10	C	23.26	%	-5.99	C	8.13	%																																																																	-5.99	C	Ho		8.13	C	3581	074616h	50201485N	19790037E	6694m	21961ft	Sat		13	Bat		2853	mV	Tb		8.5	C	44569	Pa	Ti		7.10	C	Hi		23.26	C	To		-5.99	C	Ho		8.13	C	3581	074616h	50201485N	19790037E	6694m	21961ft	Sat		13	Bat		2853	mV	Tb		8.5	C	44569	Pa	Ti		7.10	C	Hi		23.26	C	To		-5.99	C	Ho		8.13	C	3581	074616h	50201485N	19790037E	6694m	21961ft	Sat		13	Bat		2853	mV	Tb		8.5	C	44569	Pa	Ti		7.10	C	Hi		23.26	C	To		-5.99	C	Ho		8.13	C	3581	074616h	50201485N	19790037E	6694m	21961ft	Sat		13	Bat		2853	mV	Tb		8.5	C	44569	Pa	Ti		7.10	C	Hi		23.26	C	To		-5.99	C	Ho		8.13	C	3581	074616h	50201485N	19790037E	6694m	21961ft	Sat		13	Bat		2853	mV	Tb		8.5	C	44569
3582	074617h	50201512N	0	0	0	19790047E	0	0	0	6699m	6699	21980ft	13	2853	mV	8.2	C	44542	Pa	7.7	C	23.23	%	-6.23	C	8.1	%																																																																	-6.23	C	Ho		8.1	C	3582	074617h	50201512N	19790047E	6699m	21980ft	Sat		13	Bat		2853	mV	Tb		8.2	C	44542	Pa	Ti		7.7	C	Hi		23.23	C	To		-6.23	C	Ho		8.1	C	3582	074617h	50201512N	19790047E	6699m	21980ft	Sat		13	Bat		2853	mV	Tb		8.2	C	44542	Pa	Ti		7.7	C	Hi		23.23	C	To		-6.23	C	Ho		8.1	C	3582	074617h	50201512N	19790047E	6699m	21980ft	Sat		13	Bat		2853	mV	Tb		8.2	C	44542	Pa	Ti		7.7	C	Hi		23.23	C	To		-6.23	C	Ho		8.1	C	3582	074617h	50201512N	19790047E	6699m	21980ft	Sat		13	Bat		2853	mV	Tb		8.2	C	44542	Pa	Ti		7.7	C	Hi		23.23	C	To		-6.23	C	Ho		8.1	C	3582	074617h	50201512N	19790047E	6699m	21980ft	Sat		13	Bat		2853	mV	Tb		8.2	C	44542
3583	074618h	50201533N	0	0	0	19790042E	0	0	0	6705m	6705	21999ft	13	2854	mV	8.1	C	44497	Pa	7.4	C	23.24	%	-6.34	C	8.9	%																																																																	-6.34	C	Ho		8.9	C	3583	074618h	50201533N	19790042E	6705m	21999ft	Sat		13	Bat		2854	mV	Tb		8.1	C	44497	Pa	Ti		7.4	C	Hi		23.24	C	To		-6.34	C	Ho		8.9	C	3583	074618h	50201533N	19790042E	6705m	21999ft	Sat		13	Bat		2854	mV	Tb		8.1	C	44497	Pa	Ti		7.4	C	Hi		23.24	C	To		-6.34	C	Ho		8.9	C	3583	074618h	50201533N	19790042E	6705m	21999ft	Sat		13	Bat		2854	mV	Tb		8.1	C	44497	Pa	Ti		7.4	C	Hi		23.24	C	To		-6.34	C	Ho		8.9	C	3583	074618h	50201533N	19790042E	6705m	21999ft	Sat		13	Bat		2854	mV	Tb		8.1	C	44497	Pa	Ti		7.4	C	Hi		23.24	C	To		-6.34	C	Ho		8.9	C	3583	074618h	50201533N	19790042E	6705m	21999ft	Sat		13	Bat		2854	mV	Tb		8.1	C	44497
3584	074619h	50201540N	0	0	0	19790026E	0	0	0	6712m	6712	22021ft	13	2861	mV	7.98	C	44471	Pa	7.1	C	23.21	%	-6.51	C	8.1	%																																																																	-6.51	C	Ho		8.1	C	3584	074619h	50201540N	19790026E	6712m	22021ft	Sat		13	Bat		2861	mV	Tb		7.98	C	44471	Pa	Ti		7.1	C	Hi		23.21	C	To		-6.51	C	Ho		8.1	C	3584	074619h	50201540N	19790026E	6712m	22021ft	Sat		13	Bat		2861	mV	Tb		7.98	C	44471	Pa	Ti		7.1	C	Hi		23.21	C	To		-6.51	C	Ho		8.1	C	3584	074619h	50201540N	19790026E	6712m	22021ft	Sat		13	Bat		2861	mV	Tb		7.98	C	44471	Pa	Ti		7.1	C	Hi		23.21	C	To		-6.51	C	Ho		8.1	C	3584	074619h	50201540N	19790026E	6712m	22021ft	Sat		13	Bat		2861	mV	Tb		7.98	C	44471	Pa	Ti		7.1	C	Hi		23.21	C	To		-6.51	C	Ho		8.1	C	3584	074619h	50201540N	19790026E	6712m	22021ft	Sat		13	Bat		2861	mV	Tb		7.98	C	44471
3585	074620h	50201523N	0	0	0	19790010E	0	0	0	6718m	6718	22043ft	13	2861	mV	7.94	C	44420	Pa	7.0	C	23.16	%	-6.71	C	8.13	%																																																																	-6.71	C	Ho		8.13	C	3585	074620h	50201523N	19790010E	6718m	22043ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44420	Pa	Ti		7.0	C	Hi		23.16	C	To		-6.71	C	Ho		8.13	C	3585	074620h	50201523N	19790010E	6718m	22043ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44420	Pa	Ti		7.0	C	Hi		23.16	C	To		-6.71	C	Ho		8.13	C	3585	074620h	50201523N	19790010E	6718m	22043ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44420	Pa	Ti		7.0	C	Hi		23.16	C	To		-6.71	C	Ho		8.13	C	3585	074620h	50201523N	19790010E	6718m	22043ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44420	Pa	Ti		7.0	C	Hi		23.16	C	To		-6.71	C	Ho		8.13	C	3585	074620h	50201523N	19790010E	6718m	22043ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44420
3586	074621h	50201485N	0	0	0	19790012E	0	0	0	6725m	6725	22064ft	13	2861	mV	7.94	C	44386	Pa	6.97	C	23.21	%	-6.34	C	8.1	%																																																																	-6.34	C	Ho		8.1	C	3586	074621h	50201485N	19790012E	6725m	22064ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44386	Pa	Ti		6.97	C	Hi		23.21	C	To		-6.34	C	Ho		8.1	C	3586	074621h	50201485N	19790012E	6725m	22064ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44386	Pa	Ti		6.97	C	Hi		23.21	C	To		-6.34	C	Ho		8.1	C	3586	074621h	50201485N	19790012E	6725m	22064ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44386	Pa	Ti		6.97	C	Hi		23.21	C	To		-6.34	C	Ho		8.1	C	3586	074621h	50201485N	19790012E	6725m	22064ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44386	Pa	Ti		6.97	C	Hi		23.21	C	To		-6.34	C	Ho		8.1	C	3586	074621h	50201485N	19790012E	6725m	22064ft	Sat		13	Bat		2861	mV	Tb		7.94	C	44386
3587	074622h	50201448N	0	0	0	19790019E	0	0	0	6731m	6731	22086ft	13	2861	mV	7.92	C	44340	Pa	6.96	C	23.14	%	-6.55	C	8.4	%																																																																	-6.55	C	Ho		8.4	C	3587	074622h	50201448N	19790019E	6731m	22086ft	Sat		13	Bat		2861	mV	Tb		7.92	C	44340	Pa	Ti		6.96	C	Hi		23.14	C	To		-6.55	C	Ho		8.4	C	3587	074622h	50201448N	19790019E	6731m	22086ft	Sat		13	Bat		2861	mV	Tb		7.92	C	44340	Pa	Ti		6.96	C	Hi		23.14	C	To		-6.55	C	Ho		8.4	C	3587	074622h	50201448N	19790019E	6731m	22086ft	Sat		13	Bat		2861	mV	Tb		7.92	C	44340	Pa	Ti		6.96	C	Hi		23.14	C	To		-6.55	C	Ho		8.4	C	3587	074622h	50201448N	19790019E	6731m	22086ft	Sat		13	Bat		2861	mV	Tb		7.92	C	44340	Pa	Ti		6.96	C	Hi		23.14	C	To		-6.55	C	Ho		8.4	C	3587	074622h	50201448N	19790019E	6731m	22086ft	Sat		13	Bat		2861	mV	Tb		7.92	C	44340
3588	074623h	50201424N	0	0	0	19790019E	0	0	0	6737m	6737	22105ft	13	2862	mV	7.9	C	44301	Pa	6.96	C	23.18	%	-6.57	C	8.7	%																																																																	-6.57	C	Ho		8.7	C	3588	074623h	50201424N	19790019E	6737m	22105ft	Sat		13	Bat		2862	mV	Tb		7.9	C	44301	Pa	Ti		6.96	C	Hi		23.18	C	To		-6.57	C	Ho		8.7	C	3588	074623h	50201424N	19790019E	6737m	22105ft	Sat		13	Bat		2862	mV	Tb		7.9	C	44301	Pa	Ti		6.96	C	Hi		23.18	C	To		-6.57	C	Ho		8.7	C	3588	074623h	50201424N	19790019E	6737m	22105ft	Sat		13	Bat		2862	mV	Tb		7.9	C	44301	Pa	Ti		6.96	C	Hi		23.18	C	To		-6.57	C	Ho		8.7	C	3588	074623h	50201424N	19790019E	6737m	22105ft	Sat		13	Bat		2862	mV	Tb		7.9	C	44301	Pa	Ti		6.96	C	Hi		23.18	C	To		-6.57	C	Ho		8.7	C	3588	074623h	50201424N	19790019E	6737m	22105ft	Sat		13	Bat		2862	mV	Tb		7.9	C	44301
3589	074624h	50201418N	0	0	0	19790006E	0	0	0	6742m	6742	22122ft	13	2864	mV	7.88	C	44277	Pa	6.90	C	23.15	%	-6.62	C	8.2	%																																																																	-6.62	C	Ho		8.2	C	3589	074624h	50201418N	19790006E	6742m	22122ft	Sat		13	Bat		2864	mV	Tb		7.88	C	44277	Pa	Ti		6.90	C	Hi		23.15	C	To		-6.62	C	Ho		8.2	C	3589	074624h	50201418N	19790006E	6742m	22122ft	Sat		13	Bat		2864	mV	Tb		7.88	C	44277	Pa	Ti		6.90	C	Hi		23.15	C	To		-6.62	C	Ho		8.2	C	3589	074624h	50201418N	19790006E	6742m	22122ft	Sat		13	Bat		2864	mV	Tb		7.88	C	44277	Pa	Ti		6.90	C	Hi		23.15	C	To		-6.62	C	Ho		8.2	C	3589	074624h	50201418N	19790006E	6742m	22122ft	Sat		13	Bat		2864	mV	Tb		7.88	C	44277	Pa	Ti		6.90	C	Hi		23.15	C	To		-6.62	C	Ho		8.2	C	3589	074624h	50201418N	19790006E	6742m	22122ft	Sat		13	Bat		2864	mV	Tb		7.88	C	44277
3590	074625h	50201418N	0	0	0	19789985E	0	0	0	6748m	6748	22140ft	13	2864	mV	7.84	C	44227	Pa	6.90	C	23.15	%	-7.11	C	7.97	%																																																																	-7.11	C	Ho		7.97	C	3590	074625h	50201418N	19789985E	6748m	22140ft	Sat		13	Bat		2864	mV	Tb		7.84	C	44227	Pa	Ti		6.90	C	Hi		23.15	C	To		-7.11	C	Ho		7.97	C	3590	074625h	50201418N	19789985E	6748m	22140ft	Sat		13	Bat		2864	mV	Tb		7.84	C	44227	Pa	Ti		6.90	C	Hi		23.15	C	To		-7.11	C	Ho		7.97	C	3590	074625h	50201418N	19789985E	6748m	22140ft	Sat		13	Bat		2864	mV	Tb		7.84	C	44227	Pa	Ti		6.90	C	Hi		23.15	C	To		-7.11	C	Ho		7.97	C	3590	074625h	50201418N	19789985E	6748m	22140ft	Sat		13	Bat		2864	mV	Tb		7.84	C	44227	Pa	Ti		6.90	C	Hi		23.15	C	To		-7.11	C	Ho		7.97	C	3590	074625h	50201418N	19789985E	6748m	22140ft	Sat		13	Bat		2864	mV	Tb		7.84	C	44227
3591	074626h	50201407N	0	0	0	19789991E	0	0	0	6755m	6755	22164ft	13	2861	mV	7.82	C	44174	Pa	6.86	C	23.15	%	-7.4	C	8	%																																																																	-7.4	C	Ho		8	C	3591	074626h	50201407N	19789991E	6755m	22164ft	Sat		13	Bat		2861	mV	Tb		7.82	C	44174	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.4	C	Ho		8	C	3591	074626h	50201407N	19789991E	6755m	22164ft	Sat		13	Bat		2861	mV	Tb		7.82	C	44174	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.4	C	Ho		8	C	3591	074626h	50201407N	19789991E	6755m	22164ft	Sat		13	Bat		2861	mV	Tb		7.82	C	44174	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.4	C	Ho		8	C	3591	074626h	50201407N	19789991E	6755m	22164ft	Sat		13	Bat		2861	mV	Tb		7.82	C	44174	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.4	C	Ho		8	C	3591	074626h	50201407N	19789991E	6755m	22164ft	Sat		13	Bat		2861	mV	Tb		7.82	C	44174
3592	074627h	50201374N	0	0	0	19790029E	0	0	0	6762m	6762	22186ft	13	2862	mV	7.8	C	44142	Pa	6.86	C	23.15	%	-7.1	C	8.3	%																																																																	-7.1	C	Ho		8.3	C	3592	074627h	50201374N	19790029E	6762m	22186ft	Sat		13	Bat		2862	mV	Tb		7.8	C	44142	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.1	C	Ho		8.3	C	3592	074627h	50201374N	19790029E	6762m	22186ft	Sat		13	Bat		2862	mV	Tb		7.8	C	44142	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.1	C	Ho		8.3	C	3592	074627h	50201374N	19790029E	6762m	22186ft	Sat		13	Bat		2862	mV	Tb		7.8	C	44142	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.1	C	Ho		8.3	C	3592	074627h	50201374N	19790029E	6762m	22186ft	Sat		13	Bat		2862	mV	Tb		7.8	C	44142	Pa	Ti		6.86	C	Hi		23.15	C	To		-7.1	C	Ho		8.3	C	3592	074627h	50201374N	19790029E	6762m	22186ft	Sat		13	Bat		2862	mV	Tb		7.8	C	44142
3593	074628h	50201333N	0	0	0	19790093E	0	0	0	6769m	6769	22209ft	13	2861	mV	7.78	C	44098	Pa	6.83	C	23.15	%	-7.8	C	8.2	%																																																																	-7.8	C	Ho		8.2	C	3593	074628h	50201333N	19790093E	6769m	22209ft	Sat		13	Bat		2861	mV	Tb		7.78	C	44098	Pa	Ti		6.83	C	Hi		23.15	C	To		-7.8	C	Ho		8.2	C	3593	074628h	50201333N	19790093E	6769m	22209ft	Sat		13	Bat		2861	mV	Tb		7.78	C	44098	Pa	Ti		6.83	C	Hi		23.15	C	To		-7.8	C	Ho		8.2	C	3593	074628h	50201333N	19790093E	6769m	22209ft	Sat		13	Bat		2861	mV	Tb		7.78	C	44098	Pa	Ti		6.83	C	Hi		23.15	C	To		-7.8	C	Ho		8.2	C	3593	074628h	50201333N	19790093E	6769m	22209ft	Sat		13	Bat		2861	mV	Tb		7.78	C	44098	Pa	Ti		6.83	C	Hi		23.15	C	To		-7.8	C	Ho		8.2	C	3593	074628h	50201333N	19790093E	6769m	22209ft	Sat		13	Bat		2861	mV	Tb		7.78	C	44098
3594	074629h	50201298N	0	0	0	19790158E	0	0	0	6777m	6777	22234ft	13	2861	mV	7.75	C	44048	Pa	6.79	C	23.1	%	-7.28	C	7.98	%																																																																	-7.28	C	Ho		7.98	C	3594	074629h	50201298N	19790158E	6777m	22234ft	Sat		13	Bat		2861	mV	Tb		7.75	C	44048	Pa	Ti		6.79	C	Hi		23.1	C	To		-7.28	C	Ho		7.98	C	3594	074629h	50201298N	19790158E	6777m	22234ft	Sat		13	Bat		2861	mV	Tb		7.75	C	44048	Pa	Ti		6.79	C	Hi		23.1	C	To		-7.28	C	Ho		7.98	C	3594	074629h	50201298N	19790158E	6777m	22234ft	Sat		13	Bat		2861	mV	Tb		7.75	C	44048	Pa	Ti		6.79	C	Hi		23.1	C	To		-7.28	C	Ho		7.98	C	3594	074629h	50201298N	19790158E	6777m	22234ft	Sat		13	Bat		2861	mV	Tb		7.75	C	44048	Pa	Ti		6.79	C	Hi		23.1	C	To		-7.28	C	Ho		7.98	C	3594	074629h	50201298N	19790158E	6777m	22234ft	Sat		13	Bat		2861	mV	Tb		7.75	C	44048
3595	074630h	50201266N	0	0	0	19790204E	0	0	0	6784m	6784	22258ft	13	2860	mV	7.73	C	43996	Pa	6.78	C	23.9	%	-7.3	C	7.97	%																																																																	-7.3	C	Ho		7.97	C	3595	074630h	50201266N	19790204E	6784m	22258ft	Sat		13	Bat		2860	mV	Tb		7.73	C	43996	Pa	Ti		6.78	C	Hi		23.9	C	To		-7.3	C	Ho		7.97	C	3595	074630h	50201266N	19790204E	6784m	22258ft	Sat		13	Bat		2860	mV	Tb		7.73	C	43996	Pa	Ti		6.78	C	Hi		23.9	C	To		-7.3	C	Ho		7.97	C	3595	074630h	50201266N	19790204E	6784m	22258ft	Sat		13	Bat		2860	mV	Tb		7.73	C	43996	Pa	Ti		6.78	C	Hi		23.9	C	To		-7.3	C	Ho		7.97	C	3595	074630h	50201266N	19790204E	6784m	22258ft	Sat		13	Bat		2860	mV	Tb		7.73	C	43996	Pa	Ti		6.78	C	Hi		23.9	C	To		-7.3	C	Ho		7.97	C	3595	074630h	50201266N	19790204E	6784m	22258ft	Sat		13	Bat		2860	mV	Tb		7.73	C	43996
3596	074633h	50201042N	0	0	0	19790368E	0	0	0	6807m	6807	22333ft	13	2851	mV	7.67	C	43917	Pa	6.72	C	23.7	%	-7.8	C	7.99	%																																																																	-7.8	C	Ho		7.99	C	3596	074633h	50201042N	19790368E	6807m	22333ft	Sat		13	Bat		2851	mV	Tb		7.67	C	43917	Pa	Ti		6.72	C	Hi		23.7	C	To		-7.8	C	Ho		7.99	C	3596	074633h	50201042N	19790368E	6807m	22333ft	Sat		13	Bat		2851	mV	Tb		7.67	C	43917	Pa	Ti		6.72	C	Hi		23.7	C	To		-7.8	C	Ho		7.99	C	3596	074633h	50201042N	19790368E	6807m	22333ft	Sat		13	Bat		2851	mV	Tb		7.67	C	43917	Pa	Ti		6.72	C	Hi		23.7	C	To		-7.8	C	Ho		7.99	C	3596	074633h	50201042N	19790368E	6807m	22333ft	Sat		13	Bat		2851	mV	Tb		7.67	C	43917	Pa	Ti		6.72	C	Hi		23.7	C	To		-7.8	C	Ho		7.99	C	3596	074633h	50201042N	19790368E	6807m	22333ft	Sat		13	Bat		2851	mV	Tb		7.67	C	43917
3597	074634h	50201050N	0	0	0	19790402E	0	0	0	6810m	6810	22342ft	13	2851	mV	7.61	C	43883	Pa	6.69	C	23.6	%	-7.18	C	8.3	%																																																																	-7.18	C	Ho		8.3	C	3597	074634h	50201050N	19790402E	6810m	22342ft	Sat		13	Bat		2851	mV	Tb		7.61	C	43883	Pa	Ti		6.69	C	Hi		23.6	C	To		-7.18	C	Ho		8.3	C	3597	074634h	50201050N	19790402E	6810m	22342ft	Sat		13	Bat		2851	mV	Tb		7.61	C	43883	Pa	Ti		6.69	C	Hi		23.6	C	To		-7.18	C	Ho		8.3	C	3597	074634h	50201050N	19790402E	6810m	22342ft	Sat		13	Bat		2851	mV	Tb		7.61	C	43883	Pa	Ti		6.69	C	Hi		23.6	C	To		-7.18	C	Ho		8.3	C	3597	074634h	50201050N	19790402E	6810m	22342ft	Sat		13	Bat		2851	mV	Tb		7.61	C	43883	Pa	Ti		6.69	C	Hi		23.6	C	To		-7.18	C	Ho		8.3	C	3597	074634h	50201050N	19790402E	6810m	22342ft	Sat		13	Bat		2851	mV	Tb		7.61	C	43883
3598	074636h	50200990N	0	0	0	19790591E	0	0	0	6819m	6819	22373ft	13	2855	mV	7.59	C	43818	Pa	6.66	C	23.7	%	-7.59	C	7.98	%																																																																	-7.59	C	Ho		7.98	C	3598	074636h	50200990N	19790591E	6819m	22373ft	Sat		13	Bat		2855	mV	Tb		7.59	C	43818	Pa	Ti		6.66	C	Hi		23.7	C	To		-7.59	C	Ho		7.98	C	3598	074636h	50200990N	19790591E	6819m	22373ft	Sat		13	Bat		2855	mV	Tb		7.59	C	43818	Pa	Ti		6.66	C	Hi		23.7	C	To		-7.59	C	Ho		7.98	C	3598	074636h	50200990N	19790591E	6819m	22373ft	Sat		13	Bat		2855	mV	Tb		7.59	C	43818	Pa	Ti		6.66	C	Hi		23.7	C	To		-7.59	C	Ho		7.98	C	3598	074636h	50200990N	19790591E	6819m	22373ft	Sat		13	Bat		2855	mV	Tb		7.59	C	43818	Pa	Ti		6.66	C	Hi		23.7	C	To		-7.59	C	Ho		7.98	C	3598	074636h	50200990N	19790591E	6819m	22373ft	Sat		13	Bat		2855	mV	Tb		7.59	C	43818
3599	074637h	50201000N	0	0	0	19790670E	0	0	0	6824m	6824	22388ft	13	2854	mV	7.57	C	43793	Pa	6.64	C	23.4	%	-7.60	C	7.96	%																																																																	-7.60	C	Ho		7.96	C	3599	074637h	50201000N	19790670E	6824m	22388ft	Sat		13	Bat		2854	mV	Tb		7.57	C	43793	Pa	Ti		6.64	C	Hi		23.4	C	To		-7.60	C	Ho		7.96	C	3599	074637h	50201000N	19790670E	6824m	22388ft	Sat		13	Bat		2854	mV	Tb		7.57	C	43793	Pa	Ti		6.64	C	Hi		23.4	C	To		-7.60	C	Ho		7.96	C	3599	074637h	50201000N	19790670E	6824m	22388ft	Sat		13	Bat		2854	mV	Tb		7.57	C	43793	Pa	Ti		6.64	C	Hi		23.4	C	To		-7.60	C	Ho		7.96	C	3599	074637h	50201000N	19790670E	6824m	22388ft	Sat		13	Bat		2854	mV	Tb		7.57	C	43793	Pa	Ti		6.64	C	Hi		23.4	C	To		-7.60	C	Ho		7.96	C	3599	074637h	50201000N	19790670E	6824m	22388ft	Sat		13	Bat		2854	mV	Tb		7.57	C	43793
3600	074638h	50201013N	0	0	0	19790745E	0	0	0	6829m	6829	22407ft	13	2854	mV	7.55	C	43749	Pa	6.61	C	23.4	%	-7.39	C	8	%																																																																	-7.39	C	Ho		8	C	3600	074638h	50201013N	19790745E	6829m	22407ft	Sat		13	Bat		2854	mV	Tb		7.55	C	43749	Pa	Ti		6.61	C	Hi		23.4	C	To		-7.39	C	Ho		8	C	3600	074638h	50201013N	19790745E	6829m	22407ft	Sat		13	Bat		2854	mV	Tb		7.55	C	43749	Pa	Ti		6.61	C	Hi		23.4	C	To		-7.39	C	Ho		8	C	3600	074638h	50201013N	19790745E	6829m	22407ft	Sat		13	Bat		2854	mV	Tb		7.55	C	43749	Pa	Ti		6.61	C	Hi		23.4	C	To		-7.39	C	Ho		8	C	3600	074638h	50201013N	19790745E	6829m	22407ft	Sat		13	Bat		2854	mV	Tb		7.55	C	43749	Pa	Ti		6.61	C	Hi		23.4	C	To		-7.39	C	Ho		8	C	3600	074638h	50201013N	19790745E	6829m	22407ft	Sat		13	Bat		2854	mV	Tb		7.55	C	43749
3601	074639h	50201028N	0	0	0	19790798E	0	0	0	6836m	6836	22429ft	13	2853	mV	7.53	C	43710	Pa	6.61	C	23.1	%	-7.7	C	7.97	%																																																																	-7.7	C	Ho		7.97	C	3601	074639h	50201028N	19790798E	6836m	22429ft	Sat		13	Bat		2853	mV	Tb		7.53	C	43710	Pa	Ti		6.61	C	Hi		23.1	C	To		-7.7	C	Ho		7.97	C	3601	074639h	50201028N	19790798E	6836m	22429ft	Sat		13	Bat		2853	mV	Tb		7.53	C	43710	Pa	Ti		6.61	C	Hi		23.1	C	To		-7.7	C	Ho		7.97	C	3601	074639h	50201028N	19790798E	6836m	22429ft	Sat		13	Bat		2853	mV	Tb		7.53	C	43710	Pa	Ti		6.61	C	Hi		23.1	C	To		-7.7	C	Ho		7.97	C	3601	074639h	50201028N	19790798E	6836m	22429ft	Sat		13	Bat		2853	mV	Tb		7.53	C	43710	Pa	Ti		6.61	C	Hi		23.1	C	To		-7.7	C	Ho		7.97	C	3601	074639h	50201028N	19790798E	6836m	22429ft	Sat		13	Bat		2853	mV	Tb		7.53	C	43710
3602	074640h	50201045N	0	0	0	19790824E	0	0	0	6843m	6843	22453ft	12	2859	mV	7.51	C	43666	Pa	6.58	C	23.5	%	-7.66	C	7.98	%																																																																	-7.66	C	Ho		7.98	C	3602	074640h	50201045N	19790824E	6843m	22453ft	Sat		12	Bat		2859	mV	Tb		7.51	C	43666	Pa	Ti		6.58	C	Hi		23.5	C	To		-7.66	C	Ho		7.98	C	3602	074640h	50201045N	19790824E	6843m	22453ft	Sat		12	Bat		2859	mV	Tb		7.51	C	43666	Pa	Ti		6.58	C	Hi		23.5	C	To		-7.66	C	Ho		7.98	C	3602	074640h	50201045N	19790824E	6843m	22453ft	Sat		12	Bat		2859	mV	Tb		7.51	C	43666	Pa	Ti		6.58	C	Hi		23.5	C	To		-7.66	C	Ho		7.98	C	3602	074640h	50201045N	19790824E	6843m	22453ft	Sat		12	Bat		2859	mV	Tb		7.51	C	43666	Pa	Ti		6.58	C	Hi		23.5	C	To		-7.66	C	Ho		7.98	C	3602	074640h	50201045N	19790824E	6843m	22453ft	Sat		12	Bat		2859	mV	Tb		7.51	C	43666
