Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
38	064034h	50189412N	0	0	0	19806636E	0	0	0	463m	463	1520ft	4	2994	mV	15.48	C	97514	Pa	14.58	C	57.75	%	12.98	C	63.47	%																																																																																																																																																																																																																																				
39	064035h	50189407N	0	0	0	19806636E	0	0	0	463m	463	1520ft	4	2989	mV	15.47	C	97509	Pa	14.58	C	57.74	%	12.91	C	63.47	%																																																																																																																																																																																																																																				
40	064036h	50189411N	0	0	0	19806631E	0	0	0	462m	462	1517ft	4	2988	mV	15.48	C	97505	Pa	14.58	C	57.73	%	12.94	C	63.45	%																																																																																																																																																																																																																																				
41	064037h	50189418N	0	0	0	19806629E	0	0	0	461m	461	1513ft	4	2984	mV	15.51	C	97509	Pa	14.58	C	57.69	%	12.91	C	63.47	%																																																																																																																																																																																																																																				
42	064038h	50189425N	0	0	0	19806625E	0	0	0	461m	461	1513ft	4	2994	mV	15.48	C	97513	Pa	14.59	C	57.67	%	12.88	C	63.48	%																																																																																																																																																																																																																																				
43	064039h	50189429N	0	0	0	19806623E	0	0	0	461m	461	1514ft	4	2996	mV	15.5	C	97512	Pa	14.58	C	57.64	%	12.85	C	63.37	%																																																																																																																																																																																																																																				
44	064040h	50189425N	0	0	0	19806624E	0	0	0	461m	461	1515ft	5	2985	mV	15.51	C	97505	Pa	14.59	C	57.64	%	12.85	C	63.24	%																																																																																																																																																																																																																																				
45	064041h	50189431N	0	0	0	19806621E	0	0	0	464m	464	1522ft	5	2984	mV	15.51	C	97515	Pa	14.59	C	57.61	%	12.87	C	63.1	%																																																																																																																																																																																																																																				
46	064045h	50189454N	0	0	0	19806672E	0	0	0	429m	429	1409ft	5	2983	mV	15.52	C	97508	Pa	14.62	C	57.61	%	12.87	C	63.44	%																																																																																																																																																																																																																																				
47	064046h	50189457N	0	0	0	19806663E	0	0	0	435m	435	1428ft	5	2983	mV	15.52	C	97508	Pa	14.62	C	57.61	%	12.88	C	63.4	%																																																																																																																																																																																																																																				
48	064048h	50189463N	0	0	0	19806673E	0	0	0	439m	439	1441ft	5	2983	mV	15.52	C	97513	Pa	14.64	C	57.62	%	12.87	C	63.23	%																																																																																																																																																																																																																																				
49	064049h	50189456N	0	0	0	19806679E	0	0	0	443m	443	1455ft	5	2991	mV	15.55	C	97510	Pa	14.62	C	57.63	%	12.87	C	63.7	%																																																																																																																																																																																																																																				
50	064050h	50189467N	0	0	0	19806671E	0	0	0	445m	445	1461ft	5	2991	mV	15.52	C	97519	Pa	14.68	C	57.57	%	12.89	C	62.9	%																																																																																																																																																																																																																																				
51	064051h	50189477N	0	0	0	19806673E	0	0	0	442m	442	1450ft	5	2993	mV	15.55	C	97511	Pa	14.66	C	57.57	%	12.89	C	62.84	%																																																																																																																																																																																																																																				
52	064052h	50189454N	0	0	0	19806657E	0	0	0	446m	446	1465ft	5	2982	mV	15.55	C	97517	Pa	14.62	C	57.57	%	12.91	C	62.78	%																																																																																																																																																																																																																																				
53	064053h	50189458N	0	0	0	19806650E	0	0	0	448m	448	1472ft	5	2980	mV	15.55	C	97511	Pa	14.65	C	57.55	%	12.89	C	62.77	%																																																																																																																																																																																																																																				
54	064054h	50189459N	0	0	0	19806642E	0	0	0	450m	450	1478ft	5	2978	mV	15.56	C	97509	Pa	14.64	C	57.56	%	12.89	C	62.71	%																																																																																																																																																																																																																																				
55	064055h	50189461N	0	0	0	19806632E	0	0	0	452m	452	1485ft	5	2984	mV	15.56	C	97516	Pa	14.64	C	57.52	%	12.89	C	62.63	%																																																																																																																																																																																																																																				
56	064056h	50189458N	0	0	0	19806629E	0	0	0	454m	454	1490ft	5	2994	mV	15.56	C	97518	Pa	14.65	C	57.51	%	12.89	C	62.51	%																																																																																																																																																																																																																																				
57	064057h	50189459N	0	0	0	19806624E	0	0	0	453m	453	1487ft	5	2986	mV	15.56	C	97505	Pa	14.65	C	57.47	%	12.89	C	62.43	%																																																																																																																																																																																																																																				
58	064058h	50189453N	0	0	0	19806623E	0	0	0	453m	453	1487ft	5	2989	mV	15.56	C	97517	Pa	14.65	C	57.52	%	12.91	C	62.31	%																																																																																																																																																																																																																																				
59	064059h	50189451N	0	0	0	19806627E	0	0	0	452m	452	1484ft	5	2989	mV	15.56	C	97514	Pa	14.65	C	57.48	%	12.91	C	62.25	%																																																																																																																																																																																																																																				
60	064100h	50189453N	0	0	0	19806626E	0	0	0	450m	450	1478ft	5	2975	mV	15.59	C	97513	Pa	14.68	C	57.46	%	12.91	C	62.17	%																																																																																																																																																																																																																																				
61	064101h	50189460N	0	0	0	19806627E	0	0	0	447m	447	1467ft	5	2978	mV	15.6	C	97515	Pa	14.68	C	57.44	%	12.92	C	62.12	%																																																																																																																																																																																																																																				
62	064102h	50189458N	0	0	0	19806634E	0	0	0	444m	444	1459ft	5	2981	mV	15.6	C	97520	Pa	14.68	C	57.46	%	12.92	C	62.3	%																																																																																																																																																																																																																																				
63	064103h	50189454N	0	0	0	19806641E	0	0	0	443m	443	1456ft	5	2986	mV	15.6	C	97520	Pa	14.66	C	57.44	%	12.94	C	61.9	%																																																																																																																																																																																																																																				
64	064104h	50189451N	0	0	0	19806647E	0	0	0	442m	442	1452ft	5	2975	mV	15.6	C	97511	Pa	14.68	C	57.46	%	12.92	C	61.79	%																																																																																																																																																																																																																																				
65	064105h	50189445N	0	0	0	19806651E	0	0	0	442m	442	1452ft	5	2986	mV	15.6	C	97514	Pa	14.68	C	57.45	%	12.91	C	61.71	%																																																																																																																																																																																																																																				
66	064106h	50189441N	0	0	0	19806659E	0	0	0	442m	442	1453ft	5	2984	mV	15.6	C	97516	Pa	14.69	C	57.43	%	12.94	C	61.67	%																																																																																																																																																																																																																																				
67	064107h	50189441N	0	0	0	19806662E	0	0	0	441m	441	1449ft	5	2984	mV	15.6	C	97515	Pa	14.68	C	57.41	%	12.92	C	61.59	%																																																																																																																																																																																																																																				
68	064108h	50189443N	0	0	0	19806660E	0	0	0	440m	440	1444ft	5	2980	mV	15.6	C	97519	Pa	14.69	C	57.41	%	12.89	C	61.54	%																																																																																																																																																																																																																																				
69	064109h	50189441N	0	0	0	19806661E	0	0	0	439m	439	1442ft	5	2980	mV	15.6	C	97519	Pa	14.71	C	57.4	%	12.92	C	61.47	%																																																																																																																																																																																																																																				
70	064110h	50189434N	0	0	0	19806663E	0	0	0	440m	440	1443ft	7	2982	mV	15.61	C	97511	Pa	14.69	C	57.4	%	12.92	C	61.43	%																																																																																																																																																																																																																																				
71	064111h	50189433N	0	0	0	19806664E	0	0	0	439m	439	1442ft	7	2981	mV	15.63	C	97513	Pa	14.69	C	57.4	%	12.92	C	61.35	%																																																																																																																																																																																																																																				
72	064112h	50189428N	0	0	0	19806666E	0	0	0	439m	439	1441ft	7	2980	mV	15.61	C	97514	Pa	14.71	C	57.37	%	12.94	C	61.32	%																																																																																																																																																																																																																																				
73	064115h	50189195N	0	0	0	19806859E	0	0	0	487m	487	1599ft	7	2977	mV	15.64	C	97508	Pa	14.72	C	57.39	%	12.92	C	61.23	%																																																																																																																																																																																																																																				
74	064116h	50189301N	0	0	0	19806747E	0	0	0	449m	449	1473ft	7	2978	mV	15.63	C	97511	Pa	14.73	C	57.38	%	12.94	C	61.17	%																																																																																																																																																																																																																																				
75	064118h	50189333N	0	0	0	19806718E	0	0	0	447m	447	1467ft	7	2982	mV	15.64	C	97514	Pa	14.72	C	57.36	%	12.92	C	61.12	%																																																																																																																																																																																																																																				
76	064119h	50189350N	0	0	0	19806711E	0	0	0	450m	450	1477ft	7	2982	mV	15.64	C	97506	Pa	14.69	C	57.33	%	12.94	C	61.1	%																																																																																																																																																																																																																																				
77	064120h	50189339N	0	0	0	19806708E	0	0	0	451m	451	1482ft	7	2978	mV	15.67	C	97502	Pa	14.75	C	57.33	%	12.95	C	61.19	%																																																																																																																																																																																																																																				
78	064121h	50189361N	0	0	0	19806713E	0	0	0	449m	449	1473ft	7	2980	mV	15.68	C	97507	Pa	14.75	C	57.31	%	12.96	C	61.27	%																																																																																																																																																																																																																																				
79	064122h	50189384N	0	0	0	19806719E	0	0	0	448m	448	1472ft	7	2978	mV	15.67	C	97504	Pa	14.75	C	57.33	%	12.96	C	61.49	%																																																																																																																																																																																																																																				
80	064123h	50189385N	0	0	0	19806720E	0	0	0	449m	449	1475ft	7	2980	mV	15.69	C	97511	Pa	14.75	C	57.3	%	12.94	C	61.6	%																																																																																																																																																																																																																																				
81	064124h	50189391N	0	0	0	19806720E	0	0	0	450m	450	1478ft	7	2972	mV	15.69	C	97505	Pa	14.79	C	57.29	%	12.95	C	61.65	%																																																																																																																																																																																																																																				
82	064125h	50189393N	0	0	0	19806719E	0	0	0	450m	450	1478ft	7	2972	mV	15.69	C	97508	Pa	14.79	C	57.26	%	12.96	C	61.74	%																																																																																																																																																																																																																																				
83	064126h	50189400N	0	0	0	19806710E	0	0	0	450m	450	1479ft	7	2980	mV	15.69	C	97515	Pa	14.79	C	57.28	%	12.95	C	61.91	%																																																																																																																																																																																																																																				
84	064127h	50189406N	0	0	0	19806703E	0	0	0	451m	451	1480ft	7	2975	mV	15.71	C	97515	Pa	14.78	C	57.23	%	12.94	C	62.2	%																																																																																																																																																																																																																																				
85	064128h	50189407N	0	0	0	19806695E	0	0	0	452m	452	1483ft	7	2977	mV	15.71	C	97512	Pa	14.79	C	57.26	%	12.95	C	61.94	%																																																																																																																																																																																																																																				
86	064129h	50189411N	0	0	0	19806682E	0	0	0	453m	453	1488ft	7	2978	mV	15.71	C	97515	Pa	14.79	C	57.18	%	12.95	C	61.88	%																																																																																																																																																																																																																																				
87	064130h	50189414N	0	0	0	19806675E	0	0	0	453m	453	1489ft	7	2969	mV	15.71	C	97509	Pa	14.82	C	57.16	%	12.96	C	61.85	%																																																																																																																																																																																																																																				
88	064131h	50189415N	0	0	0	19806673E	0	0	0	453m	453	1488ft	7	2969	mV	15.71	C	97506	Pa	14.79	C	57.14	%	12.98	C	61.82	%																																																																																																																																																																																																																																				
89	064132h	50189417N	0	0	0	19806668E	0	0	0	453m	453	1488ft	7	2970	mV	15.72	C	97512	Pa	14.81	C	57.17	%	12.95	C	61.76	%																																																																																																																																																																																																																																				
90	064133h	50189418N	0	0	0	19806665E	0	0	0	453m	453	1489ft	7	2973	mV	15.72	C	97514	Pa	14.81	C	57.15	%	12.99	C	61.76	%																																																																																																																																																																																																																																				
91	064134h	50189420N	0	0	0	19806660E	0	0	0	453m	453	1488ft	7	2975	mV	15.72	C	97511	Pa	14.79	C	57.18	%	12.99	C	61.71	%																																																																																																																																																																																																																																				
92	064135h	50189424N	0	0	0	19806664E	0	0	0	453m	453	1488ft	7	2982	mV	15.72	C	97516	Pa	14.82	C	57.13	%	13.1	C	61.67	%																																																																																																																																																																																																																																				
93	064136h	50189424N	0	0	0	19806663E	0	0	0	453m	453	1487ft	7	2978	mV	15.72	C	97512	Pa	14.83	C	57.13	%	12.99	C	61.63	%																																																																																																																																																																																																																																				
94	064137h	50189420N	0	0	0	19806666E	0	0	0	453m	453	1488ft	7	2977	mV	15.72	C	97515	Pa	14.83	C	57.1	%	12.99	C	61.57	%																																																																																																																																																																																																																																				
95	064138h	50189420N	0	0	0	19806661E	0	0	0	453m	453	1488ft	7	2967	mV	15.72	C	97514	Pa	14.83	C	57.9	%	13.3	C	61.59	%																																																																																																																																																																																																																																				
96	064139h	50189419N	0	0	0	19806655E	0	0	0	454m	454	1489ft	7	2971	mV	15.73	C	97520	Pa	14.83	C	57.12	%	13.2	C	61.61	%																																																																																																																																																																																																																																				
97	064140h	50189416N	0	0	0	19806647E	0	0	0	454m	454	1490ft	7	2967	mV	15.73	C	97517	Pa	14.81	C	57.11	%	12.99	C	61.68	%																																																																																																																																																																																																																																				
98	064141h	50189426N	0	0	0	19806646E	0	0	0	454m	454	1489ft	7	2967	mV	15.76	C	97514	Pa	14.83	C	57.12	%	13.2	C	61.86	%																																																																																																																																																																																																																																				
99	064142h	50189431N	0	0	0	19806643E	0	0	0	453m	453	1488ft	7	2974	mV	15.75	C	97517	Pa	14.85	C	57.1	%	13.2	C	61.92	%																																																																																																																																																																																																																																				
100	064143h	50189435N	0	0	0	19806637E	0	0	0	453m	453	1487ft	7	2970	mV	15.73	C	97515	Pa	14.82	C	57.12	%	13.2	C	61.88	%																																																																																																																																																																																																																																				
101	064147h	50189342N	0	0	0	19806706E	0	0	0	454m	454	1492ft	6	2961	mV	15.77	C	97507	Pa	14.86	C	57.1	%	13.68	C	62.5	%																																																																																																																																																																																																																																				
102	064149h	50189215N	0	0	0	19806776E	0	0	0	450m	450	1479ft	7	2964	mV	15.76	C	97516	Pa	14.85	C	57.1	%	13.51	C	62.69	%																																																																																																																																																																																																																																				
103	064150h	50189231N	0	0	0	19806751E	0	0	0	448m	448	1472ft	7	2964	mV	15.77	C	97520	Pa	14.85	C	57.12	%	13.46	C	62.6	%																																																																																																																																																																																																																																				
104	064151h	50189235N	0	0	0	19806747E	0	0	0	451m	451	1481ft	7	2962	mV	15.77	C	97519	Pa	14.83	C	57.7	%	13.41	C	62.45	%																																																																																																																																																																																																																																				
105	064152h	50189279N	0	0	0	19806693E	0	0	0	456m	456	1496ft	7	2972	mV	15.77	C	97518	Pa	14.86	C	57.12	%	13.29	C	62.23	%																																																																																																																																																																																																																																				
106	064153h	50189316N	0	0	0	19806659E	0	0	0	458m	458	1504ft	7	2974	mV	15.77	C	97522	Pa	14.86	C	57.12	%	13.19	C	61.88	%																																																																																																																																																																																																																																				
107	064154h	50189337N	0	0	0	19806643E	0	0	0	456m	456	1498ft	7	2967	mV	15.77	C	97523	Pa	14.86	C	57.7	%	13.20	C	61.61	%																																																																																																																																																																																																																																				
108	064155h	50189345N	0	0	0	19806636E	0	0	0	456m	456	1496ft	7	2964	mV	15.77	C	97522	Pa	14.86	C	57.7	%	13.16	C	61.35	%																																																																																																																																																																																																																																				
109	064156h	50189347N	0	0	0	19806632E	0	0	0	455m	455	1494ft	7	2971	mV	15.79	C	97518	Pa	14.89	C	57.8	%	13.16	C	61.12	%																																																																																																																																																																																																																																				
110	064157h	50189350N	0	0	0	19806621E	0	0	0	455m	455	1493ft	7	2970	mV	15.8	C	97519	Pa	14.89	C	57.9	%	13.6	C	60.98	%																																																																																																																																																																																																																																				
111	064158h	50189360N	0	0	0	19806600E	0	0	0	454m	454	1491ft	7	2969	mV	15.8	C	97521	Pa	14.89	C	57.12	%	13.6	C	60.81	%																																																																																																																																																																																																																																				
112	064159h	50189361N	0	0	0	19806591E	0	0	0	454m	454	1492ft	7	2969	mV	15.81	C	97511	Pa	14.89	C	57.1	%	13.6	C	60.66	%																																																																																																																																																																																																																																				
113	064200h	50189361N	0	0	0	19806582E	0	0	0	454m	454	1491ft	7	2969	mV	15.81	C	97519	Pa	14.89	C	57.6	%	13.7	C	60.49	%																																																																																																																																																																																																																																				
114	064201h	50189359N	0	0	0	19806576E	0	0	0	454m	454	1491ft	7	2961	mV	15.81	C	97523	Pa	14.89	C	57.1	%	13.9	C	60.31	%																																																																																																																																																																																																																																				
115	064202h	50189357N	0	0	0	19806586E	0	0	0	455m	455	1494ft	7	2966	mV	15.81	C	97527	Pa	14.90	C	57.7	%	13.9	C	60.19	%																																																																																																																																																																																																																																				
116	064203h	50189361N	0	0	0	19806584E	0	0	0	455m	455	1494ft	7	2974	mV	15.81	C	97516	Pa	14.93	C	57.1	%	13.9	C	60.9	%																																																																																																																																																																																																																																				
117	064204h	50189366N	0	0	0	19806582E	0	0	0	455m	455	1494ft	7	2959	mV	15.82	C	97518	Pa	14.92	C	57.9	%	13.12	C	59.96	%																																																																																																																																																																																																																																				
